Gene	Transcript	FDR	P-Value	Number of species included	Number of Sites under positive Selection	Jalview protein alignment	Protein Alignment (interleaved)
2727790896	2727790896	0.383384729064039	1.703e-01	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790896/Limnohabitans_MAG/2727790896_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792798	2727792798	0.389179852579853	1.733e-01	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792798/Limnohabitans_MAG/2727792798_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794081	2727794081	0.399875	1.785e-01	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794081/Limnohabitans_MAG/2727794081_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794083	2727794083	0.403366748166259	1.805e-01	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794083/Limnohabitans_MAG/2727794083_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792747	2727792747	0.416650243902439	1.869e-01	6	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792747/Limnohabitans_MAG/2727792747_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794259	2727794259	0.443212165450122	1.993e-01	5	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794259/Limnohabitans_MAG/2727794259_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791629	2727791629	0.443467475728155	1.999e-01	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791629/Limnohabitans_MAG/2727791629_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790929	2727790929	0.443721549636804	2.005e-01	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790929/Limnohabitans_MAG/2727790929_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794052	2727794052	0.451480676328502	2.045e-01	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794052/Limnohabitans_MAG/2727794052_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791694	2727791694	0.464488192771084	2.109e-01	9	26	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791694/Limnohabitans_MAG/2727791694_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790913	2727790913	0.505658992805755	2.303e-01	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790913/Limnohabitans_MAG/2727790913_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794089	2727794089	0.505658992805755	2.307e-01	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794089/Limnohabitans_MAG/2727794089_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790978	2727790978	0.507291866028708	2.320e-01	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790978/Limnohabitans_MAG/2727790978_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791692	2727791692	0.509353221957041	2.335e-01	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791692/Limnohabitans_MAG/2727791692_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792630	2727792630	0.525767619047619	2.416e-01	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792630/Limnohabitans_MAG/2727792630_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793674	2727793674	0.553610451306413	2.550e-01	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793674/Limnohabitans_MAG/2727793674_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790826	2727790826	0.554247867298578	2.559e-01	8	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790826/Limnohabitans_MAG/2727790826_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793091	2727793091	0.568927186761229	2.633e-01	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793091/Limnohabitans_MAG/2727793091_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792596	2727792596	0.569690823529412	2.643e-01	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792596/Limnohabitans_MAG/2727792596_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791416	2727791416	0.569690823529412	2.649e-01	8	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791416/Limnohabitans_MAG/2727791416_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791143	2727791143	0.571571830985916	2.664e-01	5	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791143/Limnohabitans_MAG/2727791143_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792748	2727792748	0.582862295081967	2.723e-01	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792748/Limnohabitans_MAG/2727792748_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792278	2727792278	0.585130841121495	2.740e-01	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792278/Limnohabitans_MAG/2727792278_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792224	2727792224	0.595697902097902	2.796e-01	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792224/Limnohabitans_MAG/2727792224_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793695	2727793695	0.596225581395349	2.805e-01	8	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793695/Limnohabitans_MAG/2727793695_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791137	2727791137	0.609262645011601	2.873e-01	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791137/Limnohabitans_MAG/2727791137_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790920	2727790920	0.613987962962963	2.902e-01	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790920/Limnohabitans_MAG/2727790920_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792931	2727792931	0.629034642032333	2.980e-01	7	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792931/Limnohabitans_MAG/2727792931_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793783	2727793783	0.663387096774194	3.150e-01	4	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793783/Limnohabitans_MAG/2727793783_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791774	2727791774	0.671107126436782	3.194e-01	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791774/Limnohabitans_MAG/2727791774_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792932	2727792932	0.671664220183486	3.204e-01	7	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792932/Limnohabitans_MAG/2727792932_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791294	2727791294	0.68455881006865	3.273e-01	9	3	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791294/Limnohabitans_MAG/2727791294_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794260	2727794260	0.781490867579909	3.745e-01	5	1	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794260/Limnohabitans_MAG/2727794260_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791682	2727791682	0.834051025056948	4.006e-01	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791682/Limnohabitans_MAG/2727791682_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793985	2727793985	0.836725454545455	4.028e-01	5	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793985/Limnohabitans_MAG/2727793985_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792205	2727792205	0.844983673469388	4.077e-01	9	4	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792205/Limnohabitans_MAG/2727792205_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793079	2727793079	1	4.918e-01	9	7	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793079/Limnohabitans_MAG/2727793079_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793421	2727793421	1	5.094e-01	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793421/Limnohabitans_MAG/2727793421_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793306	2727793306	1	5.105e-01	9	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793306/Limnohabitans_MAG/2727793306_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791946	2727791946	1	6.309e-01	9	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791946/Limnohabitans_MAG/2727791946_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793076	2727793076	1	8.188e-01	9	2	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793076/Limnohabitans_MAG/2727793076_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793811	2727793811	1	1	9	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793811/Limnohabitans_MAG/2727793811_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792537	2727792537	1	1	7	110	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792537/Limnohabitans_MAG/2727792537_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792262	2727792262	1	1	7	115	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792262/Limnohabitans_MAG/2727792262_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791156	2727791156	1	1	5	87	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791156/Limnohabitans_MAG/2727791156_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794014	2727794014	1	1	6	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794014/Limnohabitans_MAG/2727794014_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791875	2727791875	1	1	6	47	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791875/Limnohabitans_MAG/2727791875_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727790911	2727790911	1	1	9	25	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727790911/Limnohabitans_MAG/2727790911_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793666	2727793666	1	1	4	55	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793666/Limnohabitans_MAG/2727793666_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791024	2727791024	1	1	4	65	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791024/Limnohabitans_MAG/2727791024_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791121	2727791121	1	1	7	76	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791121/Limnohabitans_MAG/2727791121_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793562	2727793562	1	1	9	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793562/Limnohabitans_MAG/2727793562_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794462	2727794462	1	1	7	54	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794462/Limnohabitans_MAG/2727794462_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792603	2727792603	1	1	6	29	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792603/Limnohabitans_MAG/2727792603_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791532	2727791532	1	1	7	69	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791532/Limnohabitans_MAG/2727791532_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792911	2727792911	1	1	7	59	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792911/Limnohabitans_MAG/2727792911_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792511	2727792511	1	1	7	66	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792511/Limnohabitans_MAG/2727792511_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793791	2727793791	1	1	4	45	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793791/Limnohabitans_MAG/2727793791_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793792	2727793792	1	1	4	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793792/Limnohabitans_MAG/2727793792_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793060	2727793060	1	1	9	16	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793060/Limnohabitans_MAG/2727793060_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793127	2727793127	1	1	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793127/Limnohabitans_MAG/2727793127_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791132	2727791132	1	1	7	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791132/Limnohabitans_MAG/2727791132_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793456	2727793456	1	1	7	35	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793456/Limnohabitans_MAG/2727793456_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793656	2727793656	1	1	6	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793656/Limnohabitans_MAG/2727793656_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794067	2727794067	1	1	9	22	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794067/Limnohabitans_MAG/2727794067_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791187	2727791187	1	1	5	6	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791187/Limnohabitans_MAG/2727791187_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792485	2727792485	1	1	7	40	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792485/Limnohabitans_MAG/2727792485_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791396	2727791396	1	1	7	106	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791396/Limnohabitans_MAG/2727791396_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791669	2727791669	1	1	7	52	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791669/Limnohabitans_MAG/2727791669_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791304	2727791304	1	1	7	15	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791304/Limnohabitans_MAG/2727791304_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793983	2727793983	1	1	3	44	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793983/Limnohabitans_MAG/2727793983_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792298	2727792298	1	1	9	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792298/Limnohabitans_MAG/2727792298_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794346	2727794346	1	1	9	39	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794346/Limnohabitans_MAG/2727794346_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792374	2727792374	1	1	4	47	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792374/Limnohabitans_MAG/2727792374_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791985	2727791985	1	1	3	21	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791985/Limnohabitans_MAG/2727791985_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793778	2727793778	1	1	3	80	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793778/Limnohabitans_MAG/2727793778_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793795	2727793795	1	1	4	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793795/Limnohabitans_MAG/2727793795_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791154	2727791154	1	1	7	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791154/Limnohabitans_MAG/2727791154_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791705	2727791705	1	1	9	12	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791705/Limnohabitans_MAG/2727791705_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793390	2727793390	1	1	9	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793390/Limnohabitans_MAG/2727793390_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791576	2727791576	1	1	3	36	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791576/Limnohabitans_MAG/2727791576_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791412	2727791412	1	1	6	30	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791412/Limnohabitans_MAG/2727791412_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791837	2727791837	1	1	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791837/Limnohabitans_MAG/2727791837_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793813	2727793813	1	1	6	31	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793813/Limnohabitans_MAG/2727793813_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793726	2727793726	1	1	7	30	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793726/Limnohabitans_MAG/2727793726_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791689	2727791689	1	1	7	54	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791689/Limnohabitans_MAG/2727791689_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791859	2727791859	1	1	6	41	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791859/Limnohabitans_MAG/2727791859_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793202	2727793202	1	1	9	17	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793202/Limnohabitans_MAG/2727793202_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791766	2727791766	1	1	9	5	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791766/Limnohabitans_MAG/2727791766_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793767	2727793767	1	1	3	42	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793767/Limnohabitans_MAG/2727793767_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793587	2727793587	1	1	7	41	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793587/Limnohabitans_MAG/2727793587_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791125	2727791125	1	1	7	19	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791125/Limnohabitans_MAG/2727791125_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793558	2727793558	1	1	6	81	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793558/Limnohabitans_MAG/2727793558_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792325	2727792325	1	1	6	23	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792325/Limnohabitans_MAG/2727792325_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793122	2727793122	1	1	3	38	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793122/Limnohabitans_MAG/2727793122_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791623	2727791623	1	1	7	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791623/Limnohabitans_MAG/2727791623_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792623	2727792623	1	1	9	14	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792623/Limnohabitans_MAG/2727792623_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727791336	2727791336	1	1	9	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727791336/Limnohabitans_MAG/2727791336_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727792533	2727792533	1	1	7	24	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727792533/Limnohabitans_MAG/2727792533_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794328	2727794328	1	1	9	10	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794328/Limnohabitans_MAG/2727794328_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793766	2727793766	1	1	3	9	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793766/Limnohabitans_MAG/2727793766_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793705	2727793705	1	1	9	11	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793705/Limnohabitans_MAG/2727793705_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727793403	2727793403	1	1	9	8	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727793403/Limnohabitans_MAG/2727793403_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
2727794349	2727794349	1	1	4	45	"/scratch/vdenef_fluxm/rprops/metaG_SCK/Limno_CoolingWater/posigene_analysis/individual_results/2727794349/Limnohabitans_MAG/2727794349_codeml/prank/prank.best.fas.translation.view"	"LibGD or perl module GD not installed"	
